Organisation;Number of project
12585;UNION DE COOPERATIVAS ASOCIACION GALEGA DE COOPERATIVAS AGRARIAS;2
12586;UNION DES INDUSTRIES FERROVIAIRES EUROPEENNES - UNIFE;5
12587;UNION DES INDUSTRIES METALLURGIQUESMECANIQUES ELECTRIQUES ET ELECTRONIQUES DU RHONE;1
12588;UNION DES TRANSPORTS PUBLICS FERROVIAIRES;1
12589;UNION EUROPEENNE DES AVEUGLES UEAASSOCIATION;1
12590;UNION INTERNATIONALE DE LA PROPRIETE IMMOBILIERE;1
12591;UNION INTERNATIONALE DES CHEMINS DE FER;4
12592;UNION INTERNATIONALE DES TRANSPORTS PUBLICS;5
12593;UNION NATIONALE DES FEDERATIONS D'ORGANISMES D'HABITATIONS A LOYER MODERE;1
12594;UNION OF BULGARIAN BLACK SEA LOCALAUTHORITIES SDRUZHENIE;1
12595;UNION WALLONNE DES ENTREPRISES ASBL;1
12596;UNIONCAMERE LIGURIA;2
12597;UNIONCAMERE PIEMONTE;2
12598;UNIONE DELLE CAMERE DI COMMERCIO DELLA PUGLIA;2
12599;UNIONE REGIONALE DELLE CAMERE DI CO MMERCIO, INDUSTRIA, ARTIGIANATO E A GRICOLTURA DEL MOLISE (O UNIONCAMER E MOLISE)*;2
12600;UNIONE REGIONALE DELLE CAMERE DI COMMERCIO DELLA CALABRIA;1
12601;UNIONE REGIONALE DELLE CAMERE DI COMMERCIO DELLA CAMPANIA (UNIONCAMERE CAMPANIA);1
12602;UNIONE REGIONALE DELLE CAMERE DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DEL LAZIO;1
12603;UNIONE REGIONALE DELLE CAMERE DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DELLA BASILICATA ASSOCIAZIONE SENZA FINI DI LUCRO;1
12604;UNIONE REGIONALE DELLE CAMERE DI COMMERCIO INDUSTRIA, ARTIGIANATO E AGRICOLTURA DEL VENETO;4
12605;UNIONE REGIONALE DELLE CAMERE DI COMMERCIO, INDUSTRIA, ARTIGIANATO E AGRICOLTURA DELL' EMILIA-ROMAGNA;1
12606;UNIONE REGIONALE DELLE CAMERE DI COMMERCIO, INDUSTRIA, ARTIGIANATO E AGRICOLTURA DELLA LOMBARDIA;1
12607;UNIONS AGRARIAS UPA;1
12608;UNIPER ENERGY STORAGE GMBH;1
12609;UNIPOL GRUPPO FINANZIARIO SPA;1
12610;UNIQ BIORESEARCH OY;1
12611;UNIQFEED AG;1
12612;UNIRESEARCH BV;9
12613;UNISCON UNIVERSAL IDENTITY CONTROL GMBH;1
12614;UNISENSOR SA;1
12615;UNISENSOR SENSORSYSTEME GMBH;1
12616;UNITATEA ADMINISTRATIV-TERITORIALA BAIA SPRIE;1
12617;Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii;19
12618;UNITE TECHNIQUE DU SEMIDE GEIE;1
12619;UNITECHNOLOGIES SA;1
12620;United Biscuits (UK) Limited;1
12621;UNITED INSTITUTE OF INFORMATICS PROBLEMS OF NATIONAL ACADEMY OF SCIENCES OF BELARUS;1
12622;UNITED KINGDOM ATOMIC ENERGY AUTHORITY;2
12623;UNITED KINGDOM HYDROGRAPHIC OFFICE;1
12624;UNITED MEDICAL INNOVATION LTD;1
12625;UNITED MONOLITHIC SEMICONDUCTORS SAS;2
12626;UNITED NATIONS ECONOMIC COMMISSION FOR LATIN AMERICA AND THE CARIBBEAN;1
12627;UNITED NATIONS EDUCATIONAL, SCIENTIFIC AND CULTURAL ORGANIZATION -UNESCO;10
12628;UNITED NATIONS ENVIRONMENT PROGRAMME;2
12629;UNITED NATIONS HUMAN SETTLEMENTS PROGRAMME;2
12630;UNITED NATIONS INSTITUTE FOR TRAINING AND RESEARCH;1
12631;UNITED NATIONS UNIVERSITY;2
12632;UNITED NATIONS UNIVERSITY - Comparative Regional Integration Studies;1
12633;UNITED STATES DEPARTMENT OF AGRICULTURE;1
12634;UNITED TECHNOLOGIES RESEARCH CENTRE IRELAND, LIMITED;5
12635;UNITELMA SAPIENZA UNIVERSITA;1
12636;UNITRON INNOTECH BV;1
12637;UNITUITION LIMITED;1
12638;UNIVEG DEUTSCHLAND GMBH;1
12639;UNIVEG TRADE ITALIA SRL;1
12640;UNIVEREXPORT EXPORT-IMPORT DOO NOVISAD;1
12641;UNIVERSIDAD ANTONIO NARINO;1
12642;Universidad Austral de Chile;1
12643;UNIVERSIDAD AUTONOMA DE MADRID;15
12644;UNIVERSIDAD CARLOS III DE MADRID;20
12645;UNIVERSIDAD CATOLICA DE SANTA MARIA;1
12646;UNIVERSIDAD COMPLUTENSE DE MADRID;20
12647;UNIVERSIDAD DE ALCALA;5
12648;UNIVERSIDAD DE ALICANTE;7
12649;UNIVERSIDAD DE ALMERIA;8
12650;UNIVERSIDAD DE BUENOS AIRES;2
12651;UNIVERSIDAD DE BURGOS;8
12652;UNIVERSIDAD DE CADIZ;6
12653;UNIVERSIDAD DE CANTABRIA;18
12654;UNIVERSIDAD DE CASTILLA - LA MANCHA;11
12655;UNIVERSIDAD DE CHILE;2
12656;UNIVERSIDAD DE CORDOBA;8
12657;UNIVERSIDAD DE COSTA RICA;1
12658;UNIVERSIDAD DE CUENCA;1
12659;UNIVERSIDAD DE EXTREMADURA;1
12660;UNIVERSIDAD DE GRANADA;25
12661;UNIVERSIDAD DE HUELVA;1
12662;UNIVERSIDAD DE INVESTIGACION DE TECNOLOGIA EXPERIMENTAL YACHAY;1
12663;UNIVERSIDAD DE JAEN;2
12664;UNIVERSIDAD DE LA IGLESIA DE DEUSTO;10
12665;UNIVERSIDAD DE LA LAGUNA;5
12666;UNIVERSIDAD DE LA REPUBLICA;2
12667;UNIVERSIDAD DE LA RIOJA;1
12668;UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA;5
12669;UNIVERSIDAD DE LEON;1
12670;UNIVERSIDAD DE LLEIDA;8
12671;UNIVERSIDAD DE MALAGA;15
12672;UNIVERSIDAD DE MURCIA;10
12673;UNIVERSIDAD DE NAVARRA;7
12674;UNIVERSIDAD DE OVIEDO;7
12675;UNIVERSIDAD DE SALAMANCA;6
12676;UNIVERSIDAD DE SEVILLA;24
12677;UNIVERSIDAD DE VALLADOLID;9
12678;UNIVERSIDAD DE VIGO;7
12679;UNIVERSIDAD DE ZARAGOZA;20
12680;UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA;30
12681;UNIVERSIDAD DEL VALLE DE GUATEMALA;1
12682;UNIVERSIDAD GALILEO;1
12683;UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE;4
12684;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;1
12685;UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO;2
12686;UNIVERSIDAD NACIONAL DE EDUCACION A DISTANCIA;4
12687;UNIVERSIDAD NACIONAL DE LA PLATA;1
12688;UNIVERSIDAD NACIONAL DE RIO CUARTO;1
12689;UNIVERSIDAD PABLO DE OLAVIDE;5
12690;UNIVERSIDAD POLITECNICA DE CARTAGENA;4
12691;UNIVERSIDAD POLITECNICA DE MADRID;56
12692;UNIVERSIDAD PONTIFICIA COMILLAS;3
12693;UNIVERSIDAD PUBLICA DE NAVARRA;2
12694;UNIVERSIDAD REY JUAN CARLOS;8
12695;UNIVERSIDADE CATOLICA PORTUGUESA;4
12696;UNIVERSIDADE DA BEIRA INTERIOR;2
12697;UNIVERSIDADE DA CORUNA;6
12698;UNIVERSIDADE DE AVEIRO;19
12699;UNIVERSIDADE DE CABO VERDE;1
12700;UNIVERSIDADE DE COIMBRA;22
12701;UNIVERSIDADE DE EVORA;10
12702;UNIVERSIDADE DE LISBOA;6
12703;UNIVERSIDADE DE SANTIAGO DE COMPOSTELA;16
12704;UNIVERSIDADE DE SAO PAULO;1
12705;UNIVERSIDADE DE TRAS-OS-MONTES E ALTO DOURO;1
12706;UNIVERSIDADE DO ALGARVE;4
12707;Universidade do Estado do Rio de Janeiro;1
12708;UNIVERSIDADE DO MINHO;25
12709;UNIVERSIDADE DO PORTO;25
12710;UNIVERSIDADE EDUARDO MONDLANE;1
12711;UNIVERSIDADE ESTADUAL DE CAMPINAS;1
12712;Universidade Estadual Paulista - UNESP;2
12713;UNIVERSIDADE FEDERAL DA BAHIA;1
12714;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;3
12715;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;1
12716;UNIVERSIDADE NOVA DE LISBOA;2
12717;UNIVERSITA' CARLO CATTANEO - LIUC;1
12718;UNIVERSITA' DEGLI STUDI DI BERGAMO;4
12719;UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA;17
12720;UNIVERSITA' DEGLI STUDI DI SIENA;10
12721;Universita' degli Studi di Urbino Carlo Bo;2
12722;UNIVERSITA CA' FOSCARI VENEZIA;23
12723;UNIVERSITA CAMPUS BIO MEDICO DI ROMA;2
12724;UNIVERSITA CATTOLICA DEL SACRO CUORE;9
12725;UNIVERSITA COMMERCIALE LUIGI BOCCONI;12
12726;UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO;5
12727;UNIVERSITA DEGLI STUDI DEL SANNIO;1
12728;UNIVERSITA DEGLI STUDI DELL'AQUILA;8
12729;UNIVERSITA DEGLI STUDI DELL'INSUBRIA;3
12730;UNIVERSITA DEGLI STUDI DELLA BASILICATA;1
12731;UNIVERSITA DEGLI STUDI DELLA TUSCIA;5
12732;UNIVERSITA DEGLI STUDI DI BARI ALDO MORO;2
12733;UNIVERSITA DEGLI STUDI DI BRESCIA;6
12734;UNIVERSITA DEGLI STUDI DI CAGLIARI;6
12735;UNIVERSITA DEGLI STUDI DI CAMERINO;2
12736;UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE;4
12737;UNIVERSITA DEGLI STUDI DI CATANIA;5
12738;UNIVERSITA DEGLI STUDI DI FERRARA;12
12739;UNIVERSITA DEGLI STUDI DI FIRENZE;23
12740;UNIVERSITA DEGLI STUDI DI GENOVA;23
12741;UNIVERSITA DEGLI STUDI DI MACERATA;2
12742;UNIVERSITA DEGLI STUDI DI MESSINA;1
12743;UNIVERSITA DEGLI STUDI DI MILANO;36
12744;UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA;13
12745;UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II.;23
12746;UNIVERSITA DEGLI STUDI DI NAPOLI PARTHENOPE;2
12747;UNIVERSITA DEGLI STUDI DI PADOVA;42
12748;UNIVERSITA DEGLI STUDI DI PALERMO;8
12749;UNIVERSITA DEGLI STUDI DI PARMA;11
12750;UNIVERSITA DEGLI STUDI DI PAVIA;17
12751;UNIVERSITA DEGLI STUDI DI PERUGIA;18
12752;UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA;51
12753;UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA;25
12754;UNIVERSITA DEGLI STUDI DI SALERNO;8
12755;UNIVERSITA DEGLI STUDI DI SASSARI;7
12756;UNIVERSITA DEGLI STUDI DI SCIENZE GASTRONOMICHE;2
12757;UNIVERSITA DEGLI STUDI DI TERAMO;3
12758;UNIVERSITA DEGLI STUDI DI TORINO;33
12759;UNIVERSITA DEGLI STUDI DI TRENTO;31
12760;UNIVERSITA DEGLI STUDI DI TRIESTE;8
12761;UNIVERSITA DEGLI STUDI DI UDINE;6
12762;UNIVERSITA DEGLI STUDI DI VERONA;16
12763;UNIVERSITA DEGLI STUDI GABRIELE D'ANNUNZIO DI CHIETI-PESCARA;5
12764;UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA;1
12765;UNIVERSITA DEGLI STUDI ROMA TRE;11
12766;UNIVERSITA DEL SALENTO;10
12767;UNIVERSITA DELLA CALABRIA;7
12768;UNIVERSITA DELLA SVIZZERA ITALIANA;3
12769;UNIVERSITA DI PISA;33
12770;UNIVERSITA IUAV DI VENEZIA;2
12771;UNIVERSITA PER STRANIERI DI SIENA;1
12772;UNIVERSITA POLITECNICA DELLE MARCHE;13
12773;UNIVERSITA TA MALTA;15
12774;UNIVERSITA VITA-SALUTE SAN RAFFAELE;3
12775;Università degli Studi di Foggia (University of Foggia);2
12776;Universitätsklinikum Jena;1
12777;UNIVERSITAET AUGSBURG;8
12778;UNIVERSITAET BAYREUTH;12
12779;UNIVERSITAET BERN;31
12780;UNIVERSITAET BIELEFELD;15
12781;UNIVERSITAET BREMEN;31
12782;UNIVERSITAET DER BUNDESWEHR MUENCHEN.;4
12783;UNIVERSITAET DES SAARLANDES;11
12784;UNIVERSITAET DUISBURG-ESSEN;18
12785;UNIVERSITAET FUER BODENKULTUR WIEN;28
12786;UNIVERSITAET FUER WEITERBILDUNG KREMS;2
12787;UNIVERSITAET GRAZ;12
12788;UNIVERSITAET HAMBURG;21
12789;UNIVERSITAET HOHENHEIM;5
12790;UNIVERSITAET INNSBRUCK;21
12791;UNIVERSITAET KASSEL;5
12792;UNIVERSITAET KLAGENFURT;4
12793;UNIVERSITAET KOBLENZ-LANDAU;1
12794;UNIVERSITAET LEIPZIG;18
12795;UNIVERSITAET MANNHEIM;3
12796;UNIVERSITAET OSNABRUECK;4
12797;UNIVERSITAET PADERBORN;8
12798;UNIVERSITAET POTSDAM;10
12799;UNIVERSITAET REGENSBURG;7
12800;UNIVERSITAET ROSTOCK;2
12801;UNIVERSITAET SIEGEN;6
12802;UNIVERSITAET ST. GALLEN;4
12803;UNIVERSITAET STUTTGART;45
12804;UNIVERSITAET ULM;22
12805;UNIVERSITAET VECHTA;1
12806;UNIVERSITAET ZU KOELN;17
12807;UNIVERSITAET ZUERICH;43
12808;UNIVERSITAETSKLINIKUM AACHEN;8
12809;UNIVERSITAETSKLINIKUM BONN;9
12810;UNIVERSITAETSKLINIKUM ESSEN;3
12811;UNIVERSITAETSKLINIKUM FREIBURG;10
12812;UNIVERSITAETSKLINIKUM HAMBURG-EPPENDORF;13
12813;UNIVERSITAETSKLINIKUM HEIDELBERG;12
12814;UNIVERSITAETSKLINIKUM KNAPPSCHAFTSKRANKENHAUS BOCHUM GMBH;1
12815;UNIVERSITAETSKLINIKUM WUERZBURG - KLINIKUM DER BAYERISCHEN JULIUS-MAXIMILIANS-UNIVERSITAT;2
12816;UNIVERSITAETSMEDIZIN DER JOHANNES GUTENBERG-UNIVERSITAET MAINZ;3
12817;UNIVERSITAETSMEDIZIN GOETTINGEN - GEORG-AUGUST-UNIVERSITAET GOETTINGEN - STIFTUNG OEFFENTLICHEN RECHTS;7
12818;UNIVERSITAIR MEDISCH CENTRUM UTRECHT;29
12819;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;2
12820;UNIVERSITAS NEBRISSENSIS SA;1
12821;UNIVERSITAS UDAYANA;1
12822;UNIVERSITAT AUTONOMA DE BARCELONA;38
12823;UNIVERSITAT BASEL;18
12824;UNIVERSITAT DE BARCELONA;58
12825;UNIVERSITAT DE GIRONA;15
12826;UNIVERSITAT DE LES ILLES BALEARS;4
12827;UNIVERSITAT DE VALENCIA;20
12828;UNIVERSITAT DER KUNSTE BERLIN;2
12829;UNIVERSITAT ERFURT;1
12830;UNIVERSITAT FUR ANGEWANDTE KUNST WIEN;3
12831;UNIVERSITAT JAUME I DE CASTELLON;5
12832;UNIVERSITAT KONSTANZ;11
12833;UNIVERSITAT LIECHTENSTEIN;1
12834;UNIVERSITAT LINZ;19
12835;UNIVERSITAT PASSAU;10
12836;UNIVERSITAT POLITECNICA DE CATALUNYA;53
12837;UNIVERSITAT POLITECNICA DE VALENCIA;40
12838;UNIVERSITAT POMPEU FABRA;38
12839;UNIVERSITAT ROVIRA I VIRGILI;15
12840;UNIVERSITAT TRIER;1
12841;UNIVERSITAT WIEN;45
12842;UNIVERSITAT ZU LUBECK;6
12843;UNIVERSITATEA ALEXANDRU IOAN CUZA DIN IASI;3
12844;UNIVERSITATEA BABES BOLYAI;4
12845;UNIVERSITATEA DE MEDICINA SI FARMACIE'CAROL DAVILA' DIN BUCURESTI;1
12846;UNIVERSITATEA DE STIINTE AGRICOLE SI MEDICINA VETERINARA A BANATULUI REGELE MIHAI I AL ROMANIEI DIN TIMISOARA;1
12847;UNIVERSITATEA DE STIINTE AGRICOLE SI MEDICINA VETERINARA CLUJ NAPOCA;2
12848;UNIVERSITATEA DE STIINTE AGRONOMICE SI MEDICINA VETERINARA DIN BUCURESTI;4
12849;UNIVERSITATEA DE VEST DIN TIMISOARA;3
12850;UNIVERSITATEA DIN BUCURESTI;10
12851;UNIVERSITATEA DIN CRAIOVA;3
12852;UNIVERSITATEA DUNAREA DE JOS DIN GALATI;2
12853;UNIVERSITATEA LUCIAN BLAGA DIN SIBIU;1
12854;UNIVERSITATEA OVIDIUS DIN CONSTANTA;1
12855;UNIVERSITATEA POLITEHNICA DIN BUCURESTI;8
12856;UNIVERSITATEA SAPIENTIA DIN MUNICIPIUL CLUJ-NAPOCA;1
12857;UNIVERSITATEA TEHNICA CLUJ-NAPOCA;6
12858;UNIVERSITATEA TEHNICA DE CONSTRUCTII BUCURESTI;1
12859;UNIVERSITATEA TEHNICA GHEORGHE ASACHI DIN IASI;1
12860;UNIVERSITATEA TRANSILVANIA DIN BRASOV;3
12861;UNIVERSITATSKLINIKUM ERLANGEN;5
12862;UNIVERSITATSMEDIZIN GREIFSWALD KORPERSCHAFT DES OFFENTLICHEN RECHTS;3
12863;UNIVERSITATSMEDIZIN ROSTOCK;4
12864;UNIVERSITE AL AKHAWAYN D'IFRANE;1
12865;UNIVERSITE BLAISE PASCAL CLERMONT-FERRAND II;6
12866;UNIVERSITE CADI AYYAD;1
12867;UNIVERSITE CATHOLIQUE DE LOUVAIN;42
12868;UNIVERSITE CHEIKH ANTA DIOP DE DAKAR;1
12869;UNIVERSITE CHOUAIB DOUKKALI;1
12870;UNIVERSITE D'ABOBO-ADJAME;1
12871;UNIVERSITE D'AIX MARSEILLE;21
12872;UNIVERSITE D'ARTOIS;2
12873;UNIVERSITE D'AUVERGNE CLERMONT-FERRAND 1;1
12874;UNIVERSITE D'ORLEANS;2
12875;UNIVERSITE DE BORDEAUX;20
12876;UNIVERSITE DE BOURGOGNE;6
12877;UNIVERSITE DE BRETAGNE OCCIDENTALE;7
12878;UNIVERSITE DE CAEN NORMANDIE;1
12879;UNIVERSITE DE CERGY-PONTOISE;2
12880;UNIVERSITE DE CORSE PASCAL PAOLI;2
12881;UNIVERSITE DE FRANCHE-COMTE;7
12882;UNIVERSITE DE FRIBOURG;6
12883;UNIVERSITE DE GENEVE;34
12884;UNIVERSITE DE LA REUNION;2
12885;UNIVERSITE DE LAUSANNE;12
12886;UNIVERSITE DE LIEGE;27
12887;UNIVERSITE DE LILLE II - DROIT ET SANTE;4
12888;UNIVERSITE DE LIMOGES;3
12889;UNIVERSITE DE LOME;1
12890;UNIVERSITE DE LORRAINE;11
12891;UNIVERSITE DE MARNE LA VALLEE;1
12892;UNIVERSITE DE MONS;8
12893;UNIVERSITE DE MONTPELLIER;8
12894;UNIVERSITE DE NAMUR ASBL;6
12895;UNIVERSITE DE NANTES;2
12896;UNIVERSITE DE NEUCHATEL;5
12897;UNIVERSITE DE NICE SOPHIA ANTIPOLIS;6
12898;UNIVERSITE DE PARIS-SORBONNE (PARIS IV);3
12899;UNIVERSITE DE PAU ET DES PAYS DE L'ADOUR;5
12900;UNIVERSITE DE PICARDIE JULES VERNE;1
12901;UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE;3
12902;UNIVERSITE DE RENNES I;14
12903;UNIVERSITE DE ROUEN NORMANDIE;2
12904;UNIVERSITE DE SHERBROOKE;1
12905;UNIVERSITE DE STRASBOURG;15
12906;UNIVERSITE DE TECHNOLOGIE DE BELFORT MONTBELIARD;1
12907;UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE;1
12908;UNIVERSITE DE TOULOUSE II - LE MIRAIL;1
12909;UNIVERSITE DE VERSAILLES SAINT-QUENTIN-EN-YVELINES.;6
12910;UNIVERSITE DES SCIENCES ET TECHNOLOGIES DE LILLE - LILLE I;12
12911;UNIVERSITE DES SCIENCES JURIDIQUES ET POLITIQUES DE BAMAKO;1
12912;UNIVERSITE DU LUXEMBOURG;25
12913;UNIVERSITE DU MAINE;2
12914;UNIVERSITE FEDERALE DE TOULOUSE MIDI-PYRENEES;2
12915;UNIVERSITE FRANCOIS RABELAIS DE TOURS;2
12916;UNIVERSITE GASTON BERGER DE SAINT LOUIS;1
12917;UNIVERSITE GRENOBLE ALPES;18
12918;UNIVERSITE JEAN MONNET SAINT-ETIENNE;2
12919;UNIVERSITE JOSEPH FOURIER GRENOBLE 1;15
12920;UNIVERSITE LAVAL;3
12921;UNIVERSITE LIBRE DE BRUXELLES;27
12922;UNIVERSITE LYON 1 CLAUDE BERNARD;19
12923;UNIVERSITE MICHEL DE MONTAIGNE- BORDEAUX 3;2
12924;UNIVERSITE MONTPELLIER 2 SCIENCES ET TECHNIQUES;1
12925;UNIVERSITE MONTPELLIER III PAUL VALERY;1
12926;UNIVERSITE MOULAY ISMAIL;1
12927;UNIVERSITE PARIS-EST;1
12928;UNIVERSITE PARIS-SUD;18
12929;UNIVERSITE PARIS 13;2
12930;UNIVERSITE PARIS DAUPHINE;1
12931;UNIVERSITE PARIS DESCARTES;8
12932;UNIVERSITE PARIS DIDEROT - PARIS 7;8
12933;UNIVERSITE PARIS I PANTHEON-SORBONNE;3
12934;UNIVERSITE PARIS III SORBONNE NOUVELLE;2
12935;UNIVERSITE PARIS OUEST NANTERRE LA DEFENSE;1
12936;UNIVERSITE PAUL SABATIER TOULOUSE III;12
12937;UNIVERSITE PIERRE ET MARIE CURIE - PARIS 6;47
12938;UNIVERSITE POLYTECHNIQUE DE BOBO-DIOULASSO;1
12939;UNIVERSITE RENNES II;2
12940;UNIVERSITE SAVOIE MONT BLANC;1
12941;UNIVERSITE TOULOUSE 1 CAPITOLE;2
12942;UNIVERSITEIT ANTWERPEN;28
12943;UNIVERSITEIT GENT;82
12944;UNIVERSITEIT HASSELT;6
12945;UNIVERSITEIT LEIDEN;47
12946;UNIVERSITEIT MAASTRICHT;51
12947;UNIVERSITEIT NYENRODE BV;1
12948;UNIVERSITEIT TWENTE;48
12949;UNIVERSITEIT UTRECHT;83
12950;UNIVERSITEIT VAN AMSTERDAM;83
12951;UNIVERSITETET I AGDER;4
12952;UNIVERSITETET I BERGEN;36
12953;UNIVERSITETET I OSLO;38
12954;UNIVERSITETET I STAVANGER;2
12955;UNIVERSITETET I TROMSOE;14
12956;UNIVERSITETI POLIS SHPK;1
12957;UNIVERSITETI POLITEKNIK I TIRANES;1
12958;Universiti Malaysia Sarawak;1
12959;UNIVERSITI PUTRA MALAYSIA;1
12960;UNIVERSITY COLLEGE CORK -  NATIONAL UNIVERSITY OF IRELAND, CORK;5
12961;UNIVERSITY COLLEGE CORK, NATIONAL UNIVERSITY OF IRELAND, CORK;51
12962;UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN;61
12963;UNIVERSITY COLLEGE LONDON;195
12964;UNIVERSITY COLLEGE LONDON HOSPITALSNHS FOUNDATION TRUST;1
12965;UNIVERSITY ENGINEERING CONSULTING OFFICE;1
12966;UNIVERSITY FOR DEVELOPMENT STUDIES;1
12967;UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST;2
12968;UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST;1
12969;UNIVERSITY HOSPITALS SOUTHAMPTON NHS FOUNDATION TRUST;1
12970;UNIVERSITY OF ANTANANARIVO;1
12971;UNIVERSITY OF BATH;24
12972;UNIVERSITY OF BEDFORDSHIRE;1
12973;UNIVERSITY OF BELGRADE-FACULTY OF FORESTRY;1
12974;University of Belgrade - Faculty of Mechanical Engineering;1
12975;UNIVERSITY OF BELGRADE - FACULTY OF MINING AND GEOLOGY;2
12976;UNIVERSITY OF BRADFORD;2
12977;UNIVERSITY OF BRIGHTON;10
12978;UNIVERSITY OF BRISTOL;77
12979;UNIVERSITY OF CAPE TOWN;5
12980;UNIVERSITY OF CENTRAL LANCASHIRE;6
12981;UNIVERSITY OF COLOMBO;1
12982;UNIVERSITY OF CUKUROVA;1
12983;UNIVERSITY OF CYPRUS;35
12984;UNIVERSITY OF DAR ES SALAAM;1
12985;UNIVERSITY OF DELAWARE;2
12986;UNIVERSITY OF DERBY;1
12987;UNIVERSITY OF DODOMA;1
12988;UNIVERSITY OF DUNDEE;24
12989;UNIVERSITY OF DURHAM;30
12990;UNIVERSITY OF EAST ANGLIA;23
12991;UNIVERSITY OF EAST LONDON;3
12992;UNIVERSITY OF ELDORET;1
12993;UNIVERSITY OF ESSEX;7
12994;University of Florida;1
12995;University of Food Technologies;1
12996;UNIVERSITY OF GHANA;1
12997;UNIVERSITY OF GLASGOW;66
12998;UNIVERSITY OF GLOUCESTERSHIRE LBG;4
12999;UNIVERSITY OF GONDAR;1
13000;UNIVERSITY OF GREENWICH;7
13001;UNIVERSITY OF GUELPH NON-PROFIT CORPORATION;1
13002;UNIVERSITY OF HAIFA;5
13003;UNIVERSITY OF HOUSTON SYSTEM;1
13004;UNIVERSITY OF HULL;8
13005;UNIVERSITY OF JORDAN;1
13006;UNIVERSITY OF KEELE;7
13007;UNIVERSITY OF KELANIYA;1
13008;UNIVERSITY OF KENT;17
13009;UNIVERSITY OF KWAZULU-NATAL;1
13010;UNIVERSITY OF LEEDS;68
13011;UNIVERSITY OF LEICESTER;19
13012;UNIVERSITY OF LIMERICK;9
13013;UNIVERSITY OF LINCOLN;6
13014;UNIVERSITY OF LONDON;1
13015;UNIVERSITY OF MACEDONIA;4
13016;UNIVERSITY OF MALAWI;2
13017;UNIVERSITY OF MANITOBA;2
13018;UNIVERSITY OF MEDICINE - PLEVEN;1
13019;University of Medicine and Pharmacy;1
13020;UNIVERSITY OF MELBOURNE;6
13021;UNIVERSITY OF MICHIGAN THE REGENTS OF THE UNIVERSITY OF MICHIGAN;1
13022;University of Mostar;1
13023;UNIVERSITY OF NEW SOUTH WALES;4
13024;UNIVERSITY OF NEWCASTLE UPON TYNE;56
13025;UNIVERSITY OF NIS- FACULTY OF ELECTRONIC ENGINEERING;1
13026;UNIVERSITY OF NORTH CAROLINA AT WILMINGTON;1
13027;UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE.;4
13028;University of Novi Sad Faculty of Sciences;3
13029;UNIVERSITY OF PATRAS;36
13030;UNIVERSITY OF PELOPONNESE;2
13031;UNIVERSITY OF PIRAEUS RESEARCH CENTER;12
13032;UNIVERSITY OF PLOVDIV;3
13033;UNIVERSITY OF PLYMOUTH;22
13034;UNIVERSITY OF PORTSMOUTH HIGHER EDUCATION CORPORATION;4
13035;UNIVERSITY OF RUSE ANGEL KANCHEV;1
13036;University of Science and Technology of China;2
13037;UNIVERSITY OF SOUTHAMPTON;57
13038;UNIVERSITY OF ST MARK & ST JOHN;1
13039;UNIVERSITY OF STRATHCLYDE;41
13040;UNIVERSITY OF SUNDERLAND;1
13041;UNIVERSITY OF SURREY;33
13042;UNIVERSITY OF SUSSEX;23
13043;UNIVERSITY OF TASMANIA;2
13044;UNIVERSITY OF TEESSIDE;3
13045;University of the Aegean-Research Unit;4
13046;UNIVERSITY OF THE HIGHLANDS AND ISLANDS LBG;1
13047;UNIVERSITY OF THE SUNSHINE COAST;1
13048;UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL;9
13049;UNIVERSITY OF THE WEST OF SCOTLAND;1
13050;UNIVERSITY OF THE WESTERN CAPE;2
13051;UNIVERSITY OF THE WITWATERSRAND JOHANNESBURG;3
13052;UNIVERSITY OF ULSTER;19
